feature,full_mean_ic,full_ic_sharpe,full_sign_stability,full_n,train_mean_ic,train_ic_sharpe,train_sign_stability,holdout_mean_ic,holdout_ic_sharpe,holdout_sign_stability,holdout_n
ret_6m_ex_1m,-0.008886253352886621,-0.7020462454593016,0.5042016806722689,238,-0.013372338066121398,-0.8773183306265588,0.4930555555555556,-0.0020139533666546226,-0.09138585423206805,0.5212765957446809,94
ret_zscore_21d,-0.007768177839704496,-0.7685218967485458,0.5126050420168067,238,-0.011659289765218229,-0.8814477150107742,0.5,-0.001807325528279208,-0.11512110950409304,0.5319148936170213,94
sector_rel_momentum_3m,-0.0007139909576563851,-0.07093753385011023,0.5378151260504201,238,0.00013582132273185713,0.010884537927602769,0.5277777777777778,-0.0020158310467617746,-0.11902282400977833,0.5531914893617021,94
gap_overnight,-0.005963909272045832,-0.5633940428199191,0.4789915966386555,238,-0.007357645479370888,-0.6062672703589874,0.4791666666666667,-0.003828824018271283,-0.19745242265706336,0.4787234042553192,94
mom_stability_3m,-0.00422233198639399,-0.44311230226562237,0.5210084033613446,238,-0.003821435845501872,-0.32668319326738093,0.5555555555555556,-0.004836470755420213,-0.2979293526312754,0.46808510638297873,94
ret_3m_ex_1w,-0.009228975970623696,-0.774619196519958,0.5126050420168067,238,-0.010661610377318264,-0.7358995074591811,0.5,-0.0070343019859001035,-0.3426731678495122,0.5319148936170213,94
ret_1m,-0.008775298103396877,-0.8115361968181237,0.49159663865546216,238,-0.010534433495971484,-0.7615972063039309,0.4791666666666667,-0.006080452395623018,-0.3489466874792547,0.5106382978723404,94
overextension_20dma,-0.005394503516727585,-0.4971971929220641,0.5042016806722689,238,-0.004380553559327233,-0.3382515023509754,0.5138888888888888,-0.006947788557851533,-0.3639377811923622,0.48936170212765956,94
ret_3m_adj,-0.010035676018109525,-0.8756442247042123,0.5294117647058824,238,-0.011728996373214826,-0.8381149719332168,0.5138888888888888,-0.007441653346458857,-0.3787283778130467,0.5531914893617021,94
ret_3m,-0.007908412889165748,-0.6659768708291643,0.5168067226890757,238,-0.007433202812085431,-0.5026907649153072,0.5138888888888888,-0.008636394283841978,-0.434646020555785,0.5212765957446809,94
relative_strength_vs_spy_63d,-0.007908412889165748,-0.6659768708291643,0.5168067226890757,238,-0.007433202812085431,-0.5026907649153072,0.5138888888888888,-0.008636394283841978,-0.434646020555785,0.5212765957446809,94
pct_pos_months_6m,-0.011776907333919902,-1.185722689548975,0.5042016806722689,238,-0.01472702248957216,-1.1332886121197117,0.5069444444444444,-0.0072575819890909115,-0.4700631181465538,0.5,94
above_50dma,-0.007881619919801158,-0.8830491831479459,0.5210084033613446,238,-0.007909339488362779,-0.6732716692133519,0.5069444444444444,-0.007839155899876979,-0.5703098676382995,0.5425531914893617,94
rsi_proxy,-0.01000261398888891,-0.9575151093227519,0.49159663865546216,238,-0.009250309463372137,-0.6883167656413236,0.5208333333333334,-0.011155080496063534,-0.6682245437532645,0.44680851063829785,94
ret_1w,-0.004102787914899015,-0.406269219743642,0.5294117647058824,238,0.0022045781996944272,0.18706525699761667,0.5763888888888888,-0.013765136005340031,-0.7586483609843401,0.4574468085106383,94
price_to_52w_high,-0.023655409847664476,-1.617240686060345,0.48739495798319327,238,-0.026220719774392484,-1.4449845628306763,0.4722222222222222,-0.019725573364166242,-0.8022436466138738,0.5106382978723404,94
ret_2w,-0.006338604595898403,-0.5992041854701146,0.4957983193277311,238,0.003147430945262842,0.25017651117067824,0.5069444444444444,-0.02087040372278371,-1.1229005529069467,0.4787234042553192,94
max_drawdown_63d,-0.023291572367864968,-1.6153819758122339,0.4831932773109244,238,-0.016391317468383723,-0.9134482822433849,0.4930555555555556,-0.033862175618134115,-1.4049139497392138,0.46808510638297873,94
