variant,selection,top_n,sector_balanced,construction,vol_method,target_beta,use_exposure_scaling,universe,cagr,sharpe,max_dd,volatility,avg_realized_beta,avg_abs_beta_error,avg_exposure_multiplier,turnover_sum,n_rebalances,solver_statuses
top_10_beta_target_1.0_exposure_scaled,top_10,10,False,beta_target,not_applicable,1.0,True,sp100_sample,0.15783407429477458,0.740590068925489,-0.4295943751480552,0.2131193502550928,1.031414514208764,0.1686530196854719,0.8627615062761507,148.09659864421963,239,optimal=239
top_10_beta_target_0.7_exposure_scaled,top_10,10,False,beta_target,not_applicable,0.7,True,sp100_sample,0.1585948260729475,0.7449181692614723,-0.4295943751480552,0.21290234634789723,1.0170619734624151,0.4131289190691098,0.8627615062761507,147.56854829519853,239,optimal=239
top_10_beta_target_0.5_exposure_scaled,top_10,10,False,beta_target,not_applicable,0.5,True,sp100_sample,0.1599023189182951,0.7511823817140978,-0.4295943751480552,0.21286750436481136,1.0160811466273245,0.5847003934892493,0.8627615062761507,147.65537877738512,239,optimal=239
top_20_beta_target_1.0_exposure_scaled,top_20,20,False,beta_target,not_applicable,1.0,True,sp100_sample,0.13973752359107983,0.8189554938174093,-0.3740208546523174,0.17062895926092303,0.8647527808703152,0.0019913232324208787,0.8627615062761507,131.36149716144033,239,optimal=239
top_20_beta_target_0.7_exposure_scaled,top_20,20,False,beta_target,not_applicable,0.7,True,sp100_sample,0.12565781196711456,0.7310964890435897,-0.36244460769928555,0.17187582466918747,0.7003606406170629,0.09642758695792361,0.8627615062761507,182.23800957613292,239,optimal=239
top_20_beta_target_0.5_exposure_scaled,top_20,20,False,beta_target,not_applicable,0.5,True,sp100_sample,0.13034614809103662,0.7558240446217113,-0.36244460769928555,0.17245567803585113,0.6736160870633096,0.2422353345539001,0.8627615062761507,184.08665148180586,239,optimal=239
top_30_beta_target_1.0_exposure_scaled,top_30,30,False,beta_target,not_applicable,1.0,True,sp100_sample,0.14492862683174312,0.918265123414751,-0.329211294580381,0.1578287393653777,0.862916487941522,0.0001549816878290112,0.8627615062761507,65.61925985366945,239,optimal=239
top_30_beta_target_0.7_exposure_scaled,top_30,30,False,beta_target,not_applicable,0.7,True,sp100_sample,0.13213571488623632,0.9354073038027011,-0.3438359041037665,0.1412600846166867,0.6194960963588144,0.015563043315068576,0.8627615062761507,150.57462042946312,239,optimal=239
top_30_beta_target_0.5_exposure_scaled,top_30,30,False,beta_target,not_applicable,0.5,True,sp100_sample,0.124246977983975,0.8636520601415408,-0.3808874568807764,0.14386230719302934,0.5201191248105139,0.08873842129121234,0.8627615062761507,169.41214514488922,239,optimal=239
sector_balanced_top_20_beta_target_1.0_exposure_scaled,sector_balanced_top_20,20,True,beta_target,not_applicable,1.0,True,sp100_sample,0.14667695796889602,0.9133936751906144,-0.3458398017305053,0.16058459999549074,0.8631968923510644,0.0004353860767376394,0.8627615062761507,95.3988200023824,239,optimal=239
sector_balanced_top_20_beta_target_0.7_exposure_scaled,sector_balanced_top_20,20,True,beta_target,not_applicable,0.7,True,sp100_sample,0.12129654612647056,0.8287152502885746,-0.34278208371461394,0.14636697717850947,0.629523636282048,0.025590601983324236,0.8627615062761507,154.37772987617893,239,optimal=239
sector_balanced_top_20_beta_target_0.5_exposure_scaled,sector_balanced_top_20,20,True,beta_target,not_applicable,0.5,True,sp100_sample,0.1108772310595596,0.7508114310565565,-0.35423121854319595,0.14767653564295233,0.5491362714585855,0.11775555053229217,0.8627615062761507,161.33893333223804,239,optimal=239
sector_balanced_top_30_beta_target_1.0_exposure_scaled,sector_balanced_top_30,30,True,beta_target,not_applicable,1.0,True,sp100_sample,0.1476354428260136,0.9454960964655118,-0.3146396450458736,0.1561460098861432,0.8627615062611941,2.2683378652862533e-11,0.8627615062761507,65.43874273216927,239,optimal=239
sector_balanced_top_30_beta_target_0.7_exposure_scaled,sector_balanced_top_30,30,True,beta_target,not_applicable,0.7,True,sp100_sample,0.12237376554562585,0.9200128367167982,-0.2935465602340007,0.13301310662396268,0.6104828800300942,0.006549826852573105,0.8627615062761507,126.03891711288884,239,optimal=239
sector_balanced_top_30_beta_target_0.5_exposure_scaled,sector_balanced_top_30,30,True,beta_target,not_applicable,0.5,True,sp100_sample,0.11079044018429407,0.8508538246444071,-0.3574226937092754,0.13021089754235535,0.47724851994233536,0.045867854232320884,0.8627615062761507,153.233294178558,239,optimal=239
top_10_beta_target_1.0_exposure_scaled,top_10,10,False,beta_target,not_applicable,1.0,True,sp500_dynamic,0.17917214337040055,0.5110478610338125,-0.6020059238100712,0.3505975800543385,1.6394260601693786,0.7766645538932281,0.8627615062761507,207.27999999999992,239,optimal=239
top_10_beta_target_0.7_exposure_scaled,top_10,10,False,beta_target,not_applicable,0.7,True,sp500_dynamic,0.17917214337040055,0.5110478610338125,-0.6020059238100712,0.3505975800543385,1.6394260601693786,1.0354930057760734,0.8627615062761507,207.27999999999994,239,optimal=239
top_10_beta_target_0.5_exposure_scaled,top_10,10,False,beta_target,not_applicable,0.5,True,sp500_dynamic,0.17917214337040033,0.511047861033812,-0.6020059238100712,0.3505975800543385,1.6394260601693786,1.2080453070313035,0.8627615062761507,207.27999999999994,239,optimal=239
top_20_beta_target_1.0_exposure_scaled,top_20,20,False,beta_target,not_applicable,1.0,True,sp500_dynamic,0.15889751580833833,0.5299196849061278,-0.5312487549145378,0.2998520725579124,1.316328122353173,0.4535666160770226,0.8627615062761507,253.65999908989326,239,optimal=239
top_20_beta_target_0.7_exposure_scaled,top_20,20,False,beta_target,not_applicable,0.7,True,sp500_dynamic,0.1589371803696389,0.5300479585201305,-0.5312487549145378,0.29985433924391325,1.316328122661573,0.7123950682682676,0.8627615062761507,253.66,239,optimal=239
top_20_beta_target_0.5_exposure_scaled,top_20,20,False,beta_target,not_applicable,0.5,True,sp500_dynamic,0.1589371803696389,0.5300479585201305,-0.5312487549145379,0.29985433924391325,1.316328122661573,0.884947369523498,0.8627615062761507,253.66,239,optimal=239
top_30_beta_target_1.0_exposure_scaled,top_30,30,False,beta_target,not_applicable,1.0,True,sp500_dynamic,0.1448424383118292,0.5164945870197408,-0.539803660590463,0.280433603665808,1.1360374171553633,0.2732759109021276,0.8627615062761507,275.66304060919265,239,optimal=239
top_30_beta_target_0.7_exposure_scaled,top_30,30,False,beta_target,not_applicable,0.7,True,sp500_dynamic,0.1431264789829949,0.5102198895651177,-0.5398036605904629,0.2805192073264485,1.1336880827239928,0.5297550283306874,0.8627615062761507,275.2037311617444,239,optimal=239
top_30_beta_target_0.5_exposure_scaled,top_30,30,False,beta_target,not_applicable,0.5,True,sp500_dynamic,0.14307066591321638,0.5100193796433543,-0.5398036605904628,0.2805200579108634,1.133688055796597,0.7023073026585217,0.8627615062761507,275.2034568672609,239,optimal=239
sector_balanced_top_20_beta_target_1.0_exposure_scaled,sector_balanced_top_20,20,True,beta_target,not_applicable,1.0,True,sp500_dynamic,0.1496362244064693,0.6900966419249435,-0.4771954366831639,0.21683372344643878,0.9363860691017104,0.07362458938600092,0.8627615062761507,228.29784830725234,239,optimal=239
sector_balanced_top_20_beta_target_0.7_exposure_scaled,sector_balanced_top_20,20,True,beta_target,not_applicable,0.7,True,sp500_dynamic,0.16292825769724284,0.7528826131855506,-0.4631853738230435,0.2164059241690691,0.8673904381094169,0.2634574100249968,0.8627615062761507,229.26617017103106,239,optimal=238;user_limit_equal_weight=1
sector_balanced_top_20_beta_target_0.5_exposure_scaled,sector_balanced_top_20,20,True,beta_target,not_applicable,0.5,True,sp500_dynamic,0.1620533357389351,0.7499822574604711,-0.4676125978170643,0.2160762259732209,0.862192081087324,0.43081132794924887,0.8627615062761507,227.46541795784725,239,optimal=239
sector_balanced_top_30_beta_target_1.0_exposure_scaled,sector_balanced_top_30,30,True,beta_target,not_applicable,1.0,True,sp500_dynamic,0.09660977739392207,0.4860025325125383,-0.4958085555869387,0.19878451434083763,0.881097020198563,0.018335537273996148,0.8627615062761507,211.99182897860936,239,optimal=239
sector_balanced_top_30_beta_target_0.7_exposure_scaled,sector_balanced_top_30,30,True,beta_target,not_applicable,0.7,True,sp500_dynamic,0.1104322040982968,0.5559163344670822,-0.4742684219193457,0.19864896433410317,0.7233911728413651,0.11945816614454965,0.8627615062761507,223.17465445883371,239,optimal=239
sector_balanced_top_30_beta_target_0.5_exposure_scaled,sector_balanced_top_30,30,True,beta_target,not_applicable,0.5,True,sp500_dynamic,0.11422580038613983,0.572713837894728,-0.46623690658730255,0.1994465522363299,0.6892151627743749,0.25783441101953386,0.8627615062761507,221.531302466969,239,optimal=239
