universe,runner,execution_timing,price_mode,start_date,end_date,cagr,sharpe,max_dd,volatility,avg_turnover_per_rebalance,peak_turnover_per_rebalance,turnover_sum,total_cost,tc_drag,slippage_drag,avg_cash_exposure,min_cash_exposure,max_target_gross,avg_target_gross,min_selected,n_rebalances,n_trades,variant,sleeve,trade_threshold,persistence_exit_rank,update_frequency,partial_rebalance,cost_bps,raw_signal_dates,controlled_signal_dates,passes_sharpe,passes_max_dd,passes_cagr,passes_gross,turnover_reduction_pct,passes_turnover,baseline_cost_sharpe,improves_vs_baseline_cost_sharpe,passes_10bps_candidate
sp500_dynamic,baseline_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17575060577235102,1.1424973066619966,-0.29441751665315274,0.15383021452001214,0.052372363941905274,1.6782734063526672,230.59551843620892,59202.43948822995,59202.43948822995,0.0,-0.13878952238257466,-0.3749999999999998,1.3749999999999998,1.1387895223825748,21,4403,100897,baseline_cost_10bps,baseline,0.0,,daily,1.0,10.0,4607,4404,True,True,True,True,0.0005577289412687092,False,1.1424973066619966,True,False
sp500_dynamic,baseline_cost_25bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.15369491706203053,0.9988417309383698,-0.29604530188942213,0.15387314356363607,0.052372363941905274,1.6782734063526672,230.59551843620892,116114.81230917807,116114.81230917807,0.0,-0.13878952238257466,-0.3749999999999998,1.3749999999999998,1.1387895223825748,21,4403,100897,baseline_cost_25bps,baseline,0.0,,daily,1.0,25.0,4607,4404,False,True,False,True,0.0005577289412687092,False,0.9988417309383698,True,False
sp500_dynamic,baseline_cost_50bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.11782380291012107,0.7646834639920925,-0.2987520632068572,0.1540817978396084,0.052372363941905274,1.6782734063526672,230.59551843620892,157834.38869049924,157834.38869049924,0.0,-0.13878952238257466,-0.3749999999999998,1.3749999999999998,1.1387895223825748,21,4403,100897,baseline_cost_50bps,baseline,0.0,,daily,1.0,50.0,4607,4404,False,True,False,True,0.0005577289412687092,False,0.7646834639920925,True,False
sp500_dynamic,frequency_every_2_rebalances_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.18329933873351445,1.1438046721244668,-0.33686889659237984,0.1602540566590448,0.7468459801094475,1.9399952995017806,89.62151761313369,26050.844982771698,26050.844982771698,0.0,-0.1329436758727521,-0.3462034939365286,1.3462034939365286,1.1329436758727522,21,120,3704,frequency_every_2_rebalances_cost_10bps,frequency,0.0,,every_2_rebalances,1.0,10.0,120,120,True,True,True,True,0.6115642935889096,True,1.1424973066619966,True,True
sp500_dynamic,frequency_every_2_rebalances_cost_25bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17461453347397793,1.08942689377195,-0.33686889659237984,0.1602810931804755,0.7468459801094475,1.9399952995017806,89.62151761313369,59175.42388065184,59175.42388065184,0.0,-0.1329436758727521,-0.3462034939365286,1.3462034939365286,1.1329436758727522,21,120,3704,frequency_every_2_rebalances_cost_25bps,frequency,0.0,,every_2_rebalances,1.0,25.0,120,120,True,True,True,True,0.6115642935889096,True,0.9988417309383698,True,True
sp500_dynamic,frequency_every_2_rebalances_cost_50bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.16025555464426855,0.998719942072149,-0.3368688965923795,0.16046095396049623,0.7468459801094475,1.9399952995017806,89.62151761313369,101104.7711727939,101104.7711727939,0.0,-0.1329436758727521,-0.3462034939365286,1.3462034939365286,1.1329436758727522,21,120,3704,frequency_every_2_rebalances_cost_50bps,frequency,0.0,,every_2_rebalances,1.0,50.0,120,120,False,True,True,True,0.6115642935889096,True,0.7646834639920925,True,True
sp500_dynamic,combo_thr_50bps_persist_top40_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.1806205739093949,1.1474088690799937,-0.33778233975697836,0.1574160517464177,0.058043193363748184,1.6174324000221936,150.56404358556279,40549.87458516728,40549.87458516728,0.0,-0.13298748830605334,-0.4221292113054833,1.4221292113054833,1.1329874883060531,21,2594,7468,combo_thr_50bps_persist_top40_cost_10bps,combo,0.005,40.0,daily,1.0,10.0,4607,2595,True,True,True,True,0.34742847267186194,True,1.1424973066619966,True,True
sp500_dynamic,combo_thr_50bps_persist_top40_cost_25bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.16611208158462354,1.0549675592860135,-0.33890615077410224,0.1574570517571609,0.058043193363748184,1.6174324000221936,150.56404358556279,86391.67387190799,86391.67387190799,0.0,-0.13298748830605334,-0.4221292113054833,1.4221292113054833,1.1329874883060531,21,2594,7468,combo_thr_50bps_persist_top40_cost_25bps,combo,0.005,40.0,daily,1.0,25.0,4607,2595,True,True,True,True,0.34742847267186194,True,0.9988417309383698,True,True
sp500_dynamic,combo_thr_50bps_persist_top40_cost_50bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.14230743774469556,0.9028411545670436,-0.3407762333222115,0.15762178875523117,0.058043193363748184,1.6174324000221936,150.56404358556279,133354.02312253276,133354.02312253276,0.0,-0.13298748830605334,-0.4221292113054833,1.4221292113054833,1.1329874883060531,21,2594,7468,combo_thr_50bps_persist_top40_cost_50bps,combo,0.005,40.0,daily,1.0,50.0,4607,2595,False,True,False,True,0.34742847267186194,True,0.7646834639920925,True,True
sp500_dynamic,combo_thr_50bps_persist_top30_cost_10bps,next_day_weight_lag,adj_close_fast,2008-01-02,2026-04-24,0.17718279963856065,1.127709678829456,-0.32546750481227815,0.15711738842436243,0.06078161899294751,1.5833907533016902,157.66751966770582,41515.127517679575,41515.127517679575,0.0,-0.13354405965815264,-0.42528487210014787,1.4252848721001479,1.1335440596581527,21,2594,7798,combo_thr_50bps_persist_top30_cost_10bps,combo,0.005,30.0,daily,1.0,10.0,4607,2595,True,True,True,True,0.31664073526875025,True,1.1424973066619966,False,True
