date,spy_ret_5d,spy_ret_21d,vix_5d_change,vix_percentile_jump_10d,realized_vol_21d_percentile_jump,trend_break,spy_drawdown,vix_level,spy_drawdown_speed_5d,spy_drawdown_speed_21d,vix_shock_5d,vix_percentile_jump,realized_vol_jump,trigger_count,crash_onset
2006-01-03,,,,,,False,,,False,False,False,False,False,0,False
2006-01-04,,,,,,False,0.0,11.140000343322754,False,False,False,False,False,0,False
2006-01-05,,,,,,False,0.0,11.369999885559082,False,False,False,False,False,0,False
2006-01-06,,,,,,False,0.0,11.3100004196167,False,False,False,False,False,0,False
2006-01-09,,,,,,False,0.0,11.0,False,False,False,False,False,0,False
2006-01-10,0.017363959589463906,,-0.02513471077344609,,,False,0.0,11.130000114440918,False,False,False,False,False,0,False
2006-01-11,0.01578981136861901,,-0.037818848681073436,,,False,0.0,10.859999656677246,False,False,False,False,False,0,False
2006-01-12,0.011147085041524729,,-0.009725959882439184,,,False,0.0,10.9399995803833,False,False,False,False,False,0,False
2006-01-13,0.0018688900303172051,,0.020909049294211668,,,False,-0.0039444555524350555,11.199999809265137,False,False,False,False,False,0,False
2006-01-17,-0.00341691402996791,,0.0700808378213007,,,False,-0.004872184642171207,11.229999542236328,False,False,False,False,False,0,False
2006-01-18,-0.00837844230200302,,0.12799266917730656,,,False,-0.0075787539154238415,11.90999984741211,False,False,False,False,False,0,False
2006-01-19,-0.007733361146637141,,0.09506398553413731,,,False,-0.011522695253120885,12.25,False,False,False,False,False,0,False
2006-01-20,-0.021971645426376973,,0.3000000596046457,,,False,-0.007733361146637141,11.979999542236328,False,False,True,False,False,1,False
2006-01-23,-0.01756278534929423,,0.24042750427412551,,,False,-0.025829434800013762,14.5600004196167,False,False,False,False,False,0,False
2006-01-24,-0.013870478070260983,,0.11754832830739215,,,False,-0.02234940085841297,13.930000305175781,False,False,False,False,False,0,False
2006-01-25,-0.009075651993046163,,0.05061223555584338,,,False,-0.02134411104570111,13.3100004196167,False,False,False,False,False,0,False
2006-01-26,-0.007404188031102321,,0.03672792578216422,,,False,-0.02049377127402785,12.869999885559082,False,False,False,False,False,0,False
2006-01-27,0.020401619017757833,,-0.17788462073794875,,,False,-0.015080289917697387,12.420000076293945,False,False,False,False,False,0,False
2006-01-30,0.015977999733157944,,-0.11055275865865055,,,False,-0.005954778070489719,11.970000267028809,False,False,False,False,False,0,False
2006-01-31,0.007506637051121201,,-0.027047377836366016,,,False,-0.006728499846206937,12.390000343322754,False,False,False,False,False,0,False
2006-02-01,0.013658846020920157,,-0.039627057763542584,,,False,-0.013997696489378875,12.949999809265137,False,False,False,False,False,0,False
2006-02-02,-0.003611630588647219,0.0015787087651004672,0.06521734790392064,,,False,-0.007114846519327589,12.359999656677246,False,False,False,False,False,0,False
2006-02-03,-0.017659937950450844,-0.008090955080051643,0.08270674595096739,,,False,-0.01863745606999212,13.229999542236328,False,False,False,False,False,0,False
2006-02-06,-0.014324964427671394,-0.006123301589002983,0.052461630388942915,,,False,-0.023509555009707084,12.960000038146973,False,False,False,False,False,0,False
2006-02-07,-0.015843096379053567,-0.023045588405703032,0.049420876660157376,,,False,-0.020957078752929847,13.039999961853027,False,False,False,False,False,0,False
