top_n,regime,sharpe,cagr,max_dd
10,2019 bull market,2.9239663794988497,0.26263081214448714,-0.051116194501445555
10,2020 COVID crash,0.7239869794714127,0.17835338332297712,-0.2568908284225119
10,2021 recovery,1.6578326591784271,0.2087959562467201,-0.07469294438408747
10,2022 bear market,-0.634537182209827,-0.11719090564404644,-0.17165395001840666
10,2023–2026 recovery,2.17361986131476,0.2588512281998183,-0.09254715859153329
15,2019 bull market,3.2961557624460016,0.2830790754668755,-0.049801459469408615
15,2020 COVID crash,0.44512074675842045,0.10993887771751232,-0.27482029415185405
15,2021 recovery,1.5926259666779545,0.19074250185640418,-0.07500299656853815
15,2022 bear market,-0.7407792320064812,-0.12203922743047357,-0.15508881521068374
15,2023–2026 recovery,2.2856790471000026,0.2616541531252361,-0.09340644294206413
20,2019 bull market,3.188777403861913,0.2674452195707526,-0.05461408776960919
20,2020 COVID crash,0.5779959480224963,0.13486053247237106,-0.24535816822226486
20,2021 recovery,1.593356584250684,0.18292198534061166,-0.06914401930186842
20,2022 bear market,-0.6463037900327311,-0.09891872511505206,-0.13354259091665255
20,2023–2026 recovery,2.297593058328977,0.25738728756967255,-0.09122687132390817
30,2019 bull market,3.1132572839376484,0.24591975726447934,-0.048602295098465476
30,2020 COVID crash,0.4850750976696106,0.11027758108914032,-0.2414293603047748
30,2021 recovery,1.4894874824712263,0.166280080835707,-0.07003049867121358
30,2022 bear market,-0.6506226380846513,-0.09364021329180072,-0.12201800269830543
30,2023–2026 recovery,2.207419646727428,0.23905312928783795,-0.09276883425177895
