sector,top_10,top_15,top_20,top_30
Unknown,0.2308504705268501,0.2352173488478568,0.23739064339272042,0.24201192549048786
XLB,0.024762245720642437,0.03001779412458512,0.03256265692147578,0.032076068613066694
XLC,0.06089732605723501,0.05223758233562123,0.04531748556345806,0.04388713264398126
XLE,0.07349285594088374,0.0742107614668225,0.06832304492031685,0.06570019009123104
XLF,0.11029136601458095,0.0960339959641228,0.09050622200650829,0.09062602329214516
XLI,0.04419023666067669,0.059158474021448075,0.06158870075275551,0.06027656790034119
XLK,0.23758640169515555,0.24241989826813462,0.2607300341517168,0.2600609691459401
XLP,0.002276424514216013,0.003138705959476542,0.0043460596466098,0.005551826265777231
XLRE,0.0031945596912884198,0.004732508112872409,0.0074228281466675,0.008604283215596704
XLU,0.010093519691014966,0.011294980264787697,0.013093560891596885,0.012695574513266148
XLV,0.036226258694661985,0.031580370476553654,0.03745480469074952,0.039642131551939214
XLY,0.16613833479279408,0.15995758015771852,0.14126395891542465,0.1388673072762273
