family,label,mean_ic,ic_sharpe,precision_at_20,top_bot_spread,n_dates
momentum,target_fwd_ret,0.03789001911127939,0.18596668248748932,0.2794170825197078,0.01233473785139386,2514
volatility,target_fwd_ret,0.03209222732220757,0.18334684883039865,0.2840457076733926,0.009417525642281698,2514
all_new,target_fwd_ret,0.030971856006654586,0.14568492380787915,0.27453532942793085,0.010970617023746148,2514
baseline,target_fwd_ret,0.020642840327432698,0.10219148834917637,0.27710276994286537,0.006015888260067513,2514
reversal,target_fwd_ret,0.014862206219324336,0.06851573234279543,0.26444637303825846,0.006484611973517541,2514
baseline,target_fwd_ret_sector_rel,0.02912298690207809,0.17631115502582287,0.2600437549721559,0.00504072616432465,2514
volatility,target_fwd_ret_sector_rel,0.019024203206842158,0.11358961593943309,0.25203858392999207,0.0044475117911894485,2514
all_new,target_fwd_ret_sector_rel,0.017653468808295207,0.11092943005775582,0.2564638027048528,0.003041548759359511,2514
momentum,target_fwd_ret_sector_rel,0.013681460481634196,0.08805419151887484,0.2531821797931583,0.0018579294246086181,2514
reversal,target_fwd_ret_sector_rel,0.005954399935575638,0.03905638210997826,0.22648170246618934,0.0007057739961496328,2514
volatility,target_rank_cs,0.031126119691907723,0.17719614297686673,0.2548275113907572,0.022967416255156366,2514
momentum,target_rank_cs,0.02699603112812676,0.15510937581597034,0.25949229767845516,0.021160199710798536,2514
baseline,target_rank_cs,0.02631772241347328,0.13703794217480508,0.25949229767845516,0.023639702516571826,2514
all_new,target_rank_cs,0.02051286967263871,0.10997014536719542,0.25291097128805956,0.016705088784093932,2514
reversal,target_rank_cs,-0.0002764585157094206,-0.0015413336053301792,0.2330223475808201,-0.0018893800877442188,2514
