feature,regime,start,end,mean_ic,ic_sharpe,sign_stability,n
ret_1m,full 2008-2026,2008-01-01,2026-04-24,-0.008775298103396877,-0.8115361968181237,0.49159663865546216,238
ret_1m,train 2008-2018,2008-01-01,2018-12-31,-0.010534433495971484,-0.7615972063039309,0.4791666666666667,144
ret_1m,holdout 2019-2026,2019-01-01,2026-04-24,-0.006080452395623018,-0.3489466874792547,0.5106382978723404,94
ret_1m,2008 financial crisis,2008-01-01,2009-12-31,-0.008934570514066723,-0.2162965054742984,0.46153846153846156,26
ret_1m,2015-16 vol stress,2015-06-01,2016-12-31,0.024257744496231297,0.6713161106540927,0.5238095238095238,21
ret_1m,2020 COVID,2020-01-01,2020-12-31,0.03716201326873724,0.7109804545788707,0.6923076923076923,13
ret_1m,2022 bear market,2022-01-01,2022-12-31,-0.053715114689449554,-0.956413441287823,0.38461538461538464,13
ret_1m,recovery 2023-2026,2023-01-01,2026-04-24,0.02941989179800762,1.3765423023006371,0.6190476190476191,42
ret_3m,full 2008-2026,2008-01-01,2026-04-24,-0.007908412889165748,-0.6659768708291643,0.5168067226890757,238
ret_3m,train 2008-2018,2008-01-01,2018-12-31,-0.007433202812085431,-0.5026907649153072,0.5138888888888888,144
ret_3m,holdout 2019-2026,2019-01-01,2026-04-24,-0.008636394283841978,-0.434646020555785,0.5212765957446809,94
ret_3m,2008 financial crisis,2008-01-01,2009-12-31,-0.03656593792160078,-0.7712800554908076,0.46153846153846156,26
ret_3m,2015-16 vol stress,2015-06-01,2016-12-31,-0.025604806123540585,-0.9857755997896248,0.47619047619047616,21
ret_3m,2020 COVID,2020-01-01,2020-12-31,0.05793534237941856,0.8809859537211174,0.8461538461538461,13
ret_3m,2022 bear market,2022-01-01,2022-12-31,-0.03366332352705119,-0.6245197300631439,0.5384615384615384,13
ret_3m,recovery 2023-2026,2023-01-01,2026-04-24,-0.00672049539305752,-0.24064067684288803,0.5,42
ret_6m,full 2008-2026,2008-01-01,2026-04-24,-0.005072614375086768,-0.38062245078539564,0.5294117647058824,238
ret_6m,train 2008-2018,2008-01-01,2018-12-31,-0.009948717582599602,-0.598456684227086,0.5,144
ret_6m,holdout 2019-2026,2019-01-01,2026-04-24,0.0023971607513158764,0.10784706226957494,0.574468085106383,94
ret_6m,2008 financial crisis,2008-01-01,2009-12-31,-0.05716765328181345,-1.0880959224384568,0.4230769230769231,26
ret_6m,2015-16 vol stress,2015-06-01,2016-12-31,0.006147809677597126,0.18858349505645042,0.5238095238095238,21
ret_6m,2020 COVID,2020-01-01,2020-12-31,0.087271387872458,1.0723498247091177,0.7692307692307693,13
ret_6m,2022 bear market,2022-01-01,2022-12-31,-0.011308164875798431,-0.19056964070704682,0.5384615384615384,13
ret_6m,recovery 2023-2026,2023-01-01,2026-04-24,0.01762500078732355,0.6303234617213312,0.5714285714285714,42
ret_12m,full 2008-2026,2008-01-01,2026-04-24,-0.0021358092567019173,-0.14598747975254153,0.5462184873949579,238
ret_12m,train 2008-2018,2008-01-01,2018-12-31,-0.013078017500485197,-0.7067256300032965,0.5208333333333334,144
ret_12m,holdout 2019-2026,2019-01-01,2026-04-24,0.014626722521008634,0.6129520101681031,0.5851063829787234,94
ret_12m,2008 financial crisis,2008-01-01,2009-12-31,-0.07454089848209511,-1.2435781219241737,0.5,26
ret_12m,2015-16 vol stress,2015-06-01,2016-12-31,-0.05280924839782688,-1.1226705447515164,0.38095238095238093,21
ret_12m,2020 COVID,2020-01-01,2020-12-31,0.045697806175687306,0.505436133211724,0.6923076923076923,13
ret_12m,2022 bear market,2022-01-01,2022-12-31,0.006500623631728721,0.10818603494280053,0.6153846153846154,13
ret_12m,recovery 2023-2026,2023-01-01,2026-04-24,0.044138012653970875,1.3754471368577823,0.6428571428571429,42
ret_12m_ex_1m,full 2008-2026,2008-01-01,2026-04-24,-0.0018846389981383746,-0.13171016020860224,0.5462184873949579,238
ret_12m_ex_1m,train 2008-2018,2008-01-01,2018-12-31,-0.012910150588659535,-0.7226456079962398,0.5277777777777778,144
ret_12m_ex_1m,holdout 2019-2026,2019-01-01,2026-04-24,0.01500550641712809,0.6317201070009782,0.574468085106383,94
ret_12m_ex_1m,2008 financial crisis,2008-01-01,2009-12-31,-0.07727413825143634,-1.3473097160394043,0.5,26
ret_12m_ex_1m,2015-16 vol stress,2015-06-01,2016-12-31,-0.06318523214365047,-1.301109677024051,0.38095238095238093,21
ret_12m_ex_1m,2020 COVID,2020-01-01,2020-12-31,0.03603804252010957,0.3847957685352139,0.6923076923076923,13
ret_12m_ex_1m,2022 bear market,2022-01-01,2022-12-31,0.00967117688872803,0.18144299955013174,0.6153846153846154,13
