universe,vol_sleeve,other_sleeve,other_type,full_correlation,avg_rolling_252d_correlation
sp100_sample,vol_top_10,trend_3m_long_cash,trend,0.06222121549181323,0.16003847497818915
sp100_sample,vol_top_10,trend_6m_long_cash,trend,0.09902666099691225,0.2137619859137559
sp100_sample,vol_top_10,trend_3m_6m_long_cash,trend,0.06679930978294951,0.17172202312211599
sp100_sample,vol_top_10,trend_3m_long_short,trend,-0.083163037900474,0.016367043924732972
sp100_sample,vol_top_10,trend_6m_long_short,trend,-0.03178588185971254,0.09200725246772061
sp100_sample,vol_top_10,trend_3m_6m_long_short,trend,-0.06233774030913213,0.053863031434869056
sp100_sample,vol_top_10,blend_vol_top_10_trend_3m_long_cash_80_20,blend,0.9969366829873049,0.9959097734553201
sp100_sample,vol_top_10,blend_vol_top_10_trend_3m_long_cash_70_30,blend,0.991138130887101,0.9885230715746488
sp100_sample,vol_top_10,blend_vol_top_10_trend_3m_long_cash_60_40,blend,0.9791397360339562,0.9740160873053569
sp100_sample,vol_top_10,blend_vol_top_10_trend_6m_long_cash_80_20,blend,0.9969388036538309,0.9960523890208521
sp100_sample,vol_top_10,blend_vol_top_10_trend_6m_long_cash_70_30,blend,0.9911803485111944,0.9890526128807624
sp100_sample,vol_top_10,blend_vol_top_10_trend_6m_long_cash_60_40,blend,0.9793470446230046,0.9755446221806612
sp100_sample,vol_top_10,blend_vol_top_10_trend_3m_6m_long_cash_80_20,blend,0.9968670346160978,0.9958876868990991
sp100_sample,vol_top_10,blend_vol_top_10_trend_3m_6m_long_cash_70_30,blend,0.9909437940138166,0.9885462255812975
sp100_sample,vol_top_10,blend_vol_top_10_trend_3m_6m_long_cash_60_40,blend,0.9787070610147584,0.9742948263645979
sp100_sample,vol_top_10,blend_vol_top_10_trend_3m_long_short_80_20,blend,0.9969672739125517,0.9957921075078153
sp100_sample,vol_top_10,blend_vol_top_10_trend_3m_long_short_70_30,blend,0.9910835749767799,0.9879703372039778
sp100_sample,vol_top_10,blend_vol_top_10_trend_3m_long_short_60_40,blend,0.9785665709057082,0.972148228406598
sp100_sample,vol_top_10,blend_vol_top_10_trend_6m_long_short_80_20,blend,0.9971052621377192,0.9961377068377433
sp100_sample,vol_top_10,blend_vol_top_10_trend_6m_long_short_70_30,blend,0.9915349686079977,0.9891023756518225
sp100_sample,vol_top_10,blend_vol_top_10_trend_6m_long_short_60_40,blend,0.9797871147768495,0.9751451758584065
sp100_sample,vol_top_10,blend_vol_top_10_trend_3m_6m_long_short_80_20,blend,0.9970215467080431,0.9960053393995949
sp100_sample,vol_top_10,blend_vol_top_10_trend_3m_6m_long_short_70_30,blend,0.9912625944501986,0.9886754660035452
sp100_sample,vol_top_10,blend_vol_top_10_trend_3m_6m_long_short_60_40,blend,0.9790549791991859,0.9740302533427012
sp100_sample,vol_top_10,blend_vol_top_20_trend_3m_long_cash_80_20,blend,0.9631572234449807,0.9523781497496866
sp100_sample,vol_top_10,blend_vol_top_20_trend_3m_long_cash_70_30,blend,0.9542291129364655,0.9410158290469255
sp100_sample,vol_top_10,blend_vol_top_20_trend_3m_long_cash_60_40,blend,0.936586498083239,0.9204790144698362
sp100_sample,vol_top_10,blend_vol_top_20_trend_6m_long_cash_80_20,blend,0.962735758216907,0.9522465395139715
sp100_sample,vol_top_10,blend_vol_top_20_trend_6m_long_cash_70_30,blend,0.9536228266610216,0.9413573751872765
sp100_sample,vol_top_10,blend_vol_top_20_trend_6m_long_cash_60_40,blend,0.9359969929890996,0.9222543589859905
sp100_sample,vol_top_10,blend_vol_top_20_trend_3m_6m_long_cash_80_20,blend,0.9626355154159731,0.95199805809133
sp100_sample,vol_top_10,blend_vol_top_20_trend_3m_6m_long_cash_70_30,blend,0.9532620367744794,0.9405642842266766
sp100_sample,vol_top_10,blend_vol_top_20_trend_3m_6m_long_cash_60_40,blend,0.9349952675410368,0.9203171181833506
sp100_sample,vol_top_10,blend_vol_top_20_trend_3m_long_short_80_20,blend,0.9639237031790633,0.9528821967042411
sp100_sample,vol_top_10,blend_vol_top_20_trend_3m_long_short_70_30,blend,0.9552528213377882,0.9410445301600059
sp100_sample,vol_top_10,blend_vol_top_20_trend_3m_long_short_60_40,blend,0.9370936806602564,0.9184907433498009
sp100_sample,vol_top_10,blend_vol_top_20_trend_6m_long_short_80_20,blend,0.9636171938315989,0.9531039787222954
sp100_sample,vol_top_10,blend_vol_top_20_trend_6m_long_short_70_30,blend,0.9550841808479761,0.9423009465977167
sp100_sample,vol_top_10,blend_vol_top_20_trend_6m_long_short_60_40,blend,0.9377106152742546,0.9223699480767987
