mean_ic,ic_sharpe,n,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2
-0.002101011268987848,-0.1389344233117059,94,15,100,0.6,0.9,0.0,0.0
-0.0023206974921616158,-0.16097720134684376,94,63,20,0.6,0.7,0.5,0.5
-0.002446049190186426,-0.17198531524957225,94,63,100,0.6,0.9,0.5,0.0
-0.002780422261142875,-0.19297937301000823,94,31,20,0.6,0.7,0.0,0.5
-0.0030061545706219707,-0.1983680087125472,94,15,100,0.6,0.9,0.0,0.5
-0.003239790688808868,-0.20693265890375098,94,15,20,0.6,0.7,0.5,0.0
-0.0030528851916096743,-0.2146762701204874,94,63,100,0.8,0.9,0.5,0.5
-0.003204689417837401,-0.22207029697115582,94,31,20,0.6,0.7,0.0,0.0
-0.0034755778702196356,-0.22554359132571183,94,15,20,0.6,0.7,0.5,0.5
-0.003453654542902914,-0.2318919198269231,94,15,20,1.0,0.9,0.5,0.0
-0.003319782611421125,-0.2333075887008069,94,63,100,0.6,0.7,0.5,0.5
-0.0033266607026300886,-0.23733142485180975,94,63,100,0.6,0.7,0.5,0.0
-0.003647770835710868,-0.23936628377777158,94,15,20,0.6,0.7,0.0,0.0
-0.003707904380380829,-0.24258715995818433,94,15,20,0.6,0.9,0.0,0.5
-0.0035535026697480292,-0.24723064912433887,94,63,50,0.6,0.7,0.5,0.0
-0.0036723208765943966,-0.2552142935838574,94,31,100,0.6,0.7,0.5,0.5
-0.0037490810015462263,-0.2569574360836475,94,31,20,0.6,0.7,0.5,0.5
-0.004026623028022297,-0.26385560647354395,94,15,20,0.8,0.9,0.0,0.5
-0.004041977503414734,-0.27441219249725646,94,15,50,1.0,0.9,0.0,0.5
-0.00408536467552817,-0.27550276718114747,94,15,100,0.6,0.7,0.5,0.5
-0.004168530593062204,-0.275531640686728,94,15,50,0.8,0.9,0.0,0.5
-0.00425267846193863,-0.28039364202060885,94,15,20,1.0,0.9,0.0,0.0
-0.004032014814198335,-0.28441452071293133,94,63,50,0.8,0.7,0.5,0.0
-0.004045296461848212,-0.2852324089065847,94,63,100,0.8,0.9,0.0,0.0
-0.004178955334296804,-0.29034424590618113,94,63,50,0.6,0.9,0.5,0.0
-0.004378926062243906,-0.2945620474523352,94,15,100,0.6,0.7,0.0,0.5
-0.004243423999484742,-0.2969241826115118,94,31,100,1.0,0.7,0.5,0.5
-0.004285836925762625,-0.3010105765294254,94,31,20,0.6,0.9,0.0,0.5
-0.0043094486025124406,-0.30245651157737374,94,63,100,0.8,0.9,0.5,0.0
-0.004262877580620146,-0.3045406124412738,94,31,100,0.6,0.7,0.0,0.5
-0.004337123786792217,-0.30622649278697534,94,63,100,0.6,0.7,0.0,0.0
-0.0044730466354884505,-0.3157352240678886,94,31,50,0.6,0.9,0.5,0.5
-0.004620058550913414,-0.31692162721117545,94,63,20,0.6,0.7,0.0,0.5
-0.004872596199508973,-0.3193285175245264,94,15,50,0.6,0.7,0.5,0.5
-0.0050175225298263754,-0.32267329614642715,94,15,20,0.6,0.9,0.0,0.0
-0.00507620703485266,-0.33346913251239746,94,15,50,0.6,0.7,0.0,0.0
-0.004935706638793,-0.33363174822767766,94,15,100,1.0,0.9,0.5,0.5
-0.005132317318686352,-0.3379233006070631,94,15,100,0.6,0.9,0.5,0.0
-0.005344526164590125,-0.3422503811590332,94,15,20,0.6,0.7,0.0,0.5
-0.004899444918996716,-0.34511563646724935,94,31,50,0.8,0.7,0.0,0.0
-0.0050759954755664515,-0.34562440638762576,94,31,50,0.6,0.9,0.5,0.0
-0.005305940829127827,-0.3457513956341201,94,15,100,0.6,0.9,0.5,0.5
-0.004947373353704991,-0.3492670952485252,94,63,50,1.0,0.7,0.5,0.0
-0.005349070692715557,-0.351257565605151,94,15,20,0.8,0.9,0.0,0.0
-0.005546069387582946,-0.35364599896974164,94,15,20,0.6,0.9,0.5,0.5
-0.005012098544004725,-0.353889008395192,94,63,100,1.0,0.9,0.0,0.5
-0.005010585685915318,-0.3549976269030053,94,31,100,0.6,0.7,0.5,0.0
-0.005078440265973094,-0.35550309927772933,94,63,100,0.6,0.9,0.5,0.5
-0.0055408893993329185,-0.3588473512719837,94,15,50,0.6,0.9,0.0,0.0
-0.005564184349683352,-0.3588669059242402,94,15,50,0.6,0.9,0.5,0.5
-0.005219036876843211,-0.3639778969537844,94,31,100,0.6,0.9,0.5,0.0
-0.005504297730378937,-0.36441092396573793,94,15,100,0.8,0.9,0.5,0.0
-0.005264111911319736,-0.36803258776650577,94,63,100,0.8,0.9,0.0,0.5
-0.005566469308228095,-0.3738239509977921,94,15,100,0.8,0.9,0.0,0.0
-0.005363145524445281,-0.376216746212507,94,63,20,0.6,0.7,0.0,0.0
-0.005461157836701036,-0.37793208373419646,94,31,50,1.0,0.7,0.5,0.5
-0.005375635600054882,-0.3813164179063657,94,63,100,0.6,0.7,0.0,0.5
-0.005419292889664622,-0.3830368823039009,94,63,50,0.8,0.7,0.0,0.0
-0.005567943911387593,-0.3831868338763921,94,31,100,0.8,0.9,0.0,0.5
-0.00555304836600158,-0.38563893044146014,94,63,50,0.6,0.7,0.0,0.5
-0.005596968244141712,-0.38758120153940345,94,63,100,1.0,0.7,0.0,0.5
-0.005566770972684116,-0.38787465009906463,94,63,100,1.0,0.7,0.5,0.0
-0.005527636211319553,-0.39019801134293647,94,31,50,0.6,0.7,0.5,0.5
-0.005484710339387624,-0.3905348141308472,94,31,50,0.8,0.7,0.5,0.5
-0.0060471438928979375,-0.39781369380602627,94,15,20,0.8,0.9,0.5,0.0
-0.005620613450346106,-0.400547309202053,94,31,20,0.6,0.9,0.0,0.0
-0.005799495017785756,-0.40280267532706626,94,63,100,0.6,0.9,0.0,0.0
-0.005691595072178941,-0.4030140511630155,94,63,20,0.6,0.9,0.0,0.0
-0.00562855682141556,-0.4047287061913562,94,63,50,0.6,0.7,0.0,0.0
-0.005761793326756012,-0.4087720620922267,94,31,20,1.0,0.9,0.5,0.0
-0.005960972504639766,-0.4132918839990017,94,31,100,0.6,0.9,0.5,0.5
-0.005952417369647817,-0.4170527670197806,94,63,50,0.6,0.9,0.0,0.0
-0.0057774137793057175,-0.41771458204068146,94,63,20,0.6,0.9,0.0,0.5
-0.006136590339704134,-0.4181746638036166,94,15,50,1.0,0.9,0.0,0.0
-0.0060070245957173024,-0.41966672350490875,94,31,100,0.6,0.7,0.0,0.0
-0.005967223879559494,-0.4218667141072716,94,31,50,0.6,0.7,0.5,0.0
-0.005906413643793461,-0.4229236136246987,94,63,20,0.8,0.9,0.0,0.5
-0.0059845333406108574,-0.4230696287991681,94,31,100,0.8,0.9,0.0,0.0
-0.006451308414299094,-0.42621253635534034,94,15,20,0.8,0.9,0.5,0.5
-0.006373766753619804,-0.42874831795514523,94,15,50,1.0,0.7,0.0,0.5
-0.006205032218076769,-0.43165237786675964,94,63,20,0.6,0.7,0.5,0.0
-0.006155454809117767,-0.4319497958144375,94,63,50,0.6,0.9,0.5,0.5
-0.0066490395501014425,-0.4328297856693887,94,15,50,0.6,0.9,0.5,0.0
-0.0064865457530405325,-0.4328374076413149,94,15,100,0.6,0.7,0.0,0.0
-0.006323856574232969,-0.43572175661767415,94,31,20,1.0,0.9,0.5,0.5
-0.006180614173019963,-0.4366184543389639,94,31,100,0.6,0.9,0.0,0.0
-0.006109316168168237,-0.43921040653975907,94,31,20,0.6,0.9,0.5,0.0
-0.00624405255420913,-0.44406563312272895,94,31,100,0.8,0.9,0.5,0.5
-0.006896056443747219,-0.44500324349285053,94,15,50,0.6,0.9,0.0,0.5
-0.006388952406818131,-0.44863165558168233,94,31,100,0.8,0.9,0.5,0.0
-0.006215748863752692,-0.44908528974467815,94,31,50,1.0,0.9,0.5,0.0
-0.006332445086040779,-0.45204253452723203,94,63,50,1.0,0.9,0.0,0.5
-0.006613711638307253,-0.45250151103851466,94,63,50,0.8,0.9,0.5,0.5
-0.006918858401789976,-0.45339842113510015,94,15,100,0.8,0.9,0.5,0.5
-0.006992794737091063,-0.45904115133545004,94,15,50,1.0,0.7,0.5,0.0
-0.007010088143439674,-0.45993013658655924,94,15,100,0.8,0.9,0.0,0.5
-0.007027788312018893,-0.46125800339473383,94,15,50,1.0,0.7,0.5,0.5
-0.006604940345505867,-0.469107017143111,94,31,50,0.6,0.9,0.0,0.5
-0.006818133942634231,-0.4702903044290691,94,31,20,0.6,0.7,0.5,0.0
-0.006679605505686332,-0.47032797168570073,94,63,100,0.8,0.7,0.5,0.0
-0.007277868421086016,-0.47343000482965836,94,15,50,0.8,0.7,0.5,0.0
-0.007011666103913194,-0.4735775192978295,94,15,100,1.0,0.7,0.0,0.5
-0.0072431022087106845,-0.4745732455836039,94,15,20,1.0,0.9,0.5,0.5
-0.007161243020169974,-0.47507346032845066,94,15,50,1.0,0.9,0.5,0.0
-0.006659164153038398,-0.47919695922443345,94,31,100,0.6,0.9,0.0,0.5
-0.007374318660876798,-0.48108670227825506,94,15,20,0.8,0.7,0.5,0.0
-0.007016048516254233,-0.48157837145389926,94,31,20,0.8,0.7,0.5,0.5
-0.007361963406682051,-0.48294076501581545,94,15,50,1.0,0.7,0.0,0.0
-0.006944268497608508,-0.48342649514894015,94,63,50,0.8,0.9,0.0,0.0
-0.006768345324928688,-0.484006605467506,94,31,20,0.8,0.9,0.0,0.5
-0.007371801089412015,-0.4855435104796279,94,15,20,0.8,0.7,0.0,0.0
-0.00726304992583002,-0.4870544171454207,94,15,100,1.0,0.9,0.5,0.0
-0.0068785423784493505,-0.48725785188560683,94,63,100,1.0,0.7,0.5,0.5
-0.006820031114586364,-0.4907559065230852,94,31,50,0.6,0.9,0.0,0.0
-0.007514341169254178,-0.4913931291953031,94,15,20,1.0,0.7,0.0,0.0
-0.006870219494462426,-0.4935233210803724,94,31,50,0.6,0.7,0.0,0.5
-0.00702644196674955,-0.49497773104092135,94,63,20,1.0,0.7,0.5,0.0
-0.007260582039549566,-0.49617344487159637,94,63,20,0.8,0.7,0.5,0.5
-0.006997130025092511,-0.49653702707529884,94,31,100,0.8,0.7,0.0,0.0
-0.007735213290990156,-0.49763984393524785,94,15,20,0.6,0.9,0.5,0.0
-0.007029284016390916,-0.499857026111081,94,31,50,1.0,0.9,0.5,0.5
-0.006907160330983019,-0.5007581652783776,94,63,20,1.0,0.7,0.5,0.5
-0.007090736103552316,-0.5016684347906059,94,63,20,0.6,0.9,0.5,0.5
-0.007102937489527792,-0.5090130645099916,94,31,50,1.0,0.7,0.0,0.5
-0.007095328736502547,-0.5105957321203191,94,31,100,1.0,0.9,0.0,0.0
-0.007434213530659487,-0.5111332411608497,94,31,20,0.8,0.7,0.5,0.0
-0.007353613288479013,-0.5131838729285811,94,63,20,0.6,0.9,0.5,0.0
-0.007723125429172703,-0.513854244957282,94,15,50,0.8,0.9,0.5,0.5
-0.007842918614225881,-0.5139341040977266,94,15,20,1.0,0.9,0.0,0.5
-0.007434520847801988,-0.520422020521257,94,31,20,1.0,0.9,0.0,0.5
-0.007645090545193215,-0.5204748948551732,94,15,100,0.8,0.7,0.0,0.5
-0.007498224602489219,-0.523383863230686,94,63,20,0.8,0.7,0.0,0.5
-0.007546942799450575,-0.5252890986900441,94,63,20,1.0,0.9,0.5,0.5
-0.008061414930533556,-0.5270213563677945,94,15,50,0.8,0.7,0.0,0.0
-0.007902525638938444,-0.5291801500498169,94,15,20,1.0,0.7,0.5,0.5
-0.007720334987169978,-0.5319644197167581,94,31,100,0.8,0.7,0.5,0.5
-0.008036345740625362,-0.5339055387100428,94,15,50,0.8,0.9,0.5,0.0
-0.007457244818916241,-0.5367685247702781,94,63,50,1.0,0.7,0.0,0.5
-0.008014673679303839,-0.5374940518135597,94,15,50,0.8,0.9,0.0,0.0
-0.007665888118148086,-0.5382621883990382,94,63,50,0.8,0.9,0.0,0.5
-0.007749357415349578,-0.5389922588558674,94,31,100,1.0,0.7,0.5,0.0
-0.007358883964152066,-0.5394524522625042,94,31,50,1.0,0.7,0.0,0.0
-0.007803653368146549,-0.5434367857859036,94,63,50,0.8,0.7,0.0,0.5
-0.00804169814988048,-0.5456338154428978,94,15,100,1.0,0.7,0.0,0.0
-0.007573743067674005,-0.5463763462515145,94,63,100,1.0,0.9,0.0,0.0
-0.008138177428338717,-0.5464873415563887,94,15,100,1.0,0.9,0.0,0.0
-0.007723006387997747,-0.5479214728547249,94,31,50,1.0,0.9,0.0,0.0
-0.007730469478070767,-0.5480255136983406,94,31,50,0.8,0.9,0.0,0.5
-0.00831407008485475,-0.5506016624243342,94,15,50,0.8,0.7,0.0,0.5
-0.00833639154248421,-0.5533607552911363,94,15,50,0.6,0.7,0.0,0.5
-0.007873517985179374,-0.5565260169420314,94,31,50,0.6,0.7,0.0,0.0
-0.008040506887592532,-0.5566242222125725,94,63,50,0.8,0.7,0.5,0.5
-0.008700350367302028,-0.5611608248657051,94,15,20,1.0,0.7,0.0,0.5
-0.008295213246756234,-0.5636610826761574,94,15,50,1.0,0.9,0.5,0.5
-0.008268066767941677,-0.5637511146046854,94,15,100,0.8,0.7,0.0,0.0
-0.008261934674775885,-0.564159520300124,94,15,100,0.8,0.7,0.5,0.5
-0.008049692434934403,-0.5642759295523776,94,63,20,0.8,0.9,0.5,0.5
-0.008537075639005041,-0.5656857150850221,94,15,50,0.6,0.7,0.5,0.0
