variant,selection,top_n,sector_balanced,construction,vol_method,target_beta,use_exposure_scaling,universe,cagr,sharpe,max_dd,volatility,avg_realized_beta,avg_abs_beta_error,avg_exposure_multiplier,turnover_sum,n_rebalances,solver_statuses
top_10_equal_weight_exposure_scaled,top_10,10,False,vol_scaling,equal_weight,,True,sp100_sample,0.20534785545877954,0.8986088866967854,-0.37520857814334674,0.2285174991019974,1.2102432862412047,,0.8627615062761507,83.7,239,not_applicable=239
top_10_inverse_vol_exposure_scaled,top_10,10,False,vol_scaling,inverse_vol,,True,sp100_sample,0.17450017105378057,0.8052739957065067,-0.3751821024162131,0.2166966423654137,1.1689382709041025,,0.8627615062761507,104.05518343330195,239,not_applicable=239
top_10_alpha_over_vol_exposure_scaled,top_10,10,False,vol_scaling,alpha_over_vol,,True,sp100_sample,0.17863730672686384,0.8126603593376183,-0.374019816339766,0.2198179161494566,1.1867794742478242,,0.8627615062761507,98.10123521955916,239,not_applicable=239
top_10_beta_target_1.0_exposure_scaled,top_10,10,False,beta_target,not_applicable,1.0,True,sp100_sample,0.15783407429477458,0.740590068925489,-0.4295943751480552,0.2131193502550928,1.031414514208764,0.1686530196854719,0.8627615062761507,148.09659864421963,239,optimal=239
top_10_spy_hedge_beta_1.0_exposure_scaled,top_10,10,False,spy_hedge,equal_weight,1.0,True,sp100_sample,0.16293250763971656,0.9137645167125729,-0.31879120543922324,0.17830907707589114,0.8627615062761507,0.0,0.8627615062761507,105.17486364828777,239,not_applicable=239
top_10_beta_target_0.7_exposure_scaled,top_10,10,False,beta_target,not_applicable,0.7,True,sp100_sample,0.1585948260729475,0.7449181692614723,-0.4295943751480552,0.21290234634789723,1.0170619734624151,0.4131289190691098,0.8627615062761507,147.56854829519853,239,optimal=239
top_10_spy_hedge_beta_0.7_exposure_scaled,top_10,10,False,spy_hedge,equal_weight,0.7,True,sp100_sample,0.13257893839932966,0.9091532720802771,-0.25878799598588664,0.14582682862260338,0.6039330543933055,0.0,0.8627615062761507,108.9816344305781,239,not_applicable=239
top_10_beta_target_0.5_exposure_scaled,top_10,10,False,beta_target,not_applicable,0.5,True,sp100_sample,0.1599023189182951,0.7511823817140978,-0.4295943751480552,0.21286750436481136,1.0160811466273245,0.5847003934892493,0.8627615062761507,147.65537877738512,239,optimal=239
top_10_spy_hedge_beta_0.5_exposure_scaled,top_10,10,False,spy_hedge,equal_weight,0.5,True,sp100_sample,0.11149175745942519,0.8676577317382999,-0.21739579127595143,0.12849739405428703,0.43138075313807533,0.0,0.8627615062761507,111.78760225047208,239,not_applicable=239
top_20_equal_weight_exposure_scaled,top_20,20,False,vol_scaling,equal_weight,,True,sp100_sample,0.17199002551598452,0.9279124154987057,-0.3597430899072698,0.18535157267353583,1.0161990593716757,,0.8627615062761507,64.92,239,not_applicable=239
top_20_inverse_vol_exposure_scaled,top_20,20,False,vol_scaling,inverse_vol,,True,sp100_sample,0.14742941729682446,0.8388862469469001,-0.3552647787516733,0.1757442297252925,0.9691388955422946,,0.8627615062761507,84.07729767317747,239,not_applicable=239
top_20_alpha_over_vol_exposure_scaled,top_20,20,False,vol_scaling,alpha_over_vol,,True,sp100_sample,0.15518696087896555,0.8545864659505338,-0.35717172302643785,0.18159304770448853,1.0043655151057103,,0.8627615062761507,75.00962250310954,239,not_applicable=239
top_20_beta_target_1.0_exposure_scaled,top_20,20,False,beta_target,not_applicable,1.0,True,sp100_sample,0.13973752359107983,0.8189554938174093,-0.3740208546523174,0.17062895926092303,0.8647527808703152,0.0019913232324208787,0.8627615062761507,131.36149716144033,239,optimal=239
top_20_spy_hedge_beta_1.0_exposure_scaled,top_20,20,False,spy_hedge,equal_weight,1.0,True,sp100_sample,0.1526722171847854,0.959215133664529,-0.28715785285179996,0.15916368687963195,0.8627615062761507,0.0,0.8627615062761507,77.18086854116032,239,not_applicable=239
top_20_beta_target_0.7_exposure_scaled,top_20,20,False,beta_target,not_applicable,0.7,True,sp100_sample,0.12565781196711456,0.7310964890435897,-0.36244460769928555,0.17187582466918747,0.7003606406170629,0.09642758695792361,0.8627615062761507,182.23800957613292,239,optimal=239
top_20_spy_hedge_beta_0.7_exposure_scaled,top_20,20,False,spy_hedge,equal_weight,0.7,True,sp100_sample,0.12290006216042104,1.0310772470833511,-0.219954781515863,0.1191957852896796,0.6039330543933055,0.0,0.8627615062761507,81.20351994937792,239,not_applicable=239
top_20_beta_target_0.5_exposure_scaled,top_20,20,False,beta_target,not_applicable,0.5,True,sp100_sample,0.13034614809103662,0.7558240446217113,-0.36244460769928555,0.17245567803585113,0.6736160870633096,0.2422353345539001,0.8627615062761507,184.08665148180586,239,optimal=239
top_20_spy_hedge_beta_0.5_exposure_scaled,top_20,20,False,spy_hedge,equal_weight,0.5,True,sp100_sample,0.1022009520314009,1.0739546119668046,-0.17622614480898136,0.09516319488049266,0.43138075313807533,0.0,0.8627615062761507,84.13010624180018,239,not_applicable=239
top_30_equal_weight_exposure_scaled,top_30,30,False,vol_scaling,equal_weight,,True,sp100_sample,0.15273467476062552,0.9371979896470389,-0.32461287380847903,0.16296948611482553,0.890804266897023,,0.8627615062761507,43.51999999999997,239,not_applicable=239
top_30_inverse_vol_exposure_scaled,top_30,30,False,vol_scaling,inverse_vol,,True,sp100_sample,0.13074940883877062,0.8529359593420622,-0.3134986637554379,0.15329334800191577,0.8316971661346594,,0.8627615062761507,61.22386348058993,239,not_applicable=239
top_30_alpha_over_vol_exposure_scaled,top_30,30,False,vol_scaling,alpha_over_vol,,True,sp100_sample,0.14332821410251562,0.8749152738735354,-0.33013524488026413,0.16381953588254877,0.8970555561530189,,0.8627615062761507,53.065398920914994,239,not_applicable=239
top_30_beta_target_1.0_exposure_scaled,top_30,30,False,beta_target,not_applicable,1.0,True,sp100_sample,0.14492862683174312,0.918265123414751,-0.329211294580381,0.1578287393653777,0.862916487941522,0.0001549816878290112,0.8627615062761507,65.61925985366945,239,optimal=239
top_30_spy_hedge_beta_1.0_exposure_scaled,top_30,30,False,spy_hedge,equal_weight,1.0,True,sp100_sample,0.14592101777654842,0.9331783392459173,-0.2995094035522303,0.15636991520234414,0.8627615062761507,0.0,0.8627615062761507,51.276904019903675,239,not_applicable=239
top_30_beta_target_0.7_exposure_scaled,top_30,30,False,beta_target,not_applicable,0.7,True,sp100_sample,0.13213571488623632,0.9354073038027011,-0.3438359041037665,0.1412600846166867,0.6194960963588144,0.015563043315068576,0.8627615062761507,150.57462042946312,239,optimal=239
top_30_spy_hedge_beta_0.7_exposure_scaled,top_30,30,False,spy_hedge,equal_weight,0.7,True,sp100_sample,0.11661122241332889,1.024555737155161,-0.20772985455092985,0.11381637736675816,0.6039330543933055,0.0,0.8627615062761507,54.41621541664592,239,not_applicable=239
