date,signal_date,event,previous_multiplier,target_multiplier,spy_return,vix_change
2008-01-23,2008-01-22,overlay_enter,1.0,0.6,-0.07474521007185786,0.27194426974322994
2008-01-24,2008-01-23,overlay_exit,0.6,1.0,-0.031193461879340134,0.0196767881695592
2008-09-18,2008-09-17,overlay_enter,1.0,0.6,-0.05746860890079686,0.4115355197227728
2008-09-19,2008-09-18,overlay_exit,0.6,1.0,-0.04334343484742542,0.04416396458950178
2008-09-30,2008-09-29,overlay_enter,1.0,0.6,-0.0818561565622854,0.32764998704043546
2008-10-01,2008-09-30,overlay_exit,0.6,1.0,-0.02159424595843129,0.2001828079194139
2008-10-03,2008-10-02,overlay_enter,1.0,0.6,-0.07401238212552774,-0.031250061237647175
2008-10-07,2008-10-06,overlay_exit,0.6,1.0,-0.05979542730296317,0.3074603728092682
2008-10-08,2008-10-07,overlay_enter,1.0,0.6,-0.13759783497015388,0.18603628581304266
2008-10-13,2008-10-10,rebalance_scaled,,0.6,-0.19793358065828748,0.3030923351447461
2008-10-14,2008-10-13,overlay_exit,0.6,1.0,-0.03218060436066239,-0.0441508283456481
2008-10-16,2008-10-15,overlay_enter,1.0,0.6,-0.07681247099249333,-0.010007104771714737
2008-10-17,2008-10-16,overlay_exit,0.6,1.0,0.033847692341944624,0.2294962456207117
2008-10-27,2008-10-24,overlay_enter,1.0,0.6,-0.0661946644830741,0.48992649866388627
2008-10-29,2008-10-28,overlay_exit,0.6,1.0,-0.02190627118208921,-0.012389438487840576
2008-11-12,2008-11-11,overlay_enter,1.0,0.6,-0.10596589959844116,-0.03517590558624317
2008-11-14,2008-11-13,overlay_exit,0.6,1.0,0.0034117291762574276,-0.002500795470597117
2008-11-17,2008-11-14,overlay_enter,1.0,0.6,-0.07713660452709548,0.07926430730367384
2008-11-19,2008-11-18,overlay_exit,0.6,1.0,-0.029965208352713435,0.13053647533970114
2008-11-21,2008-11-20,overlay_enter,1.0,0.6,-0.17242502879680954,0.1693419931464537
2008-11-25,2008-11-24,overlay_exit,0.6,1.0,-0.005148195350614948,-0.1287369366142811
2009-01-13,2009-01-12,overlay_enter,1.0,0.6,-0.06354301113507765,0.05646464156263509
2009-01-20,2009-01-16,overlay_exit,0.6,1.0,-0.04523456736921083,0.06563439155402939
2009-01-21,2009-01-20,overlay_enter,1.0,0.6,-0.07337569847836078,0.15282869819922063
2009-01-22,2009-01-21,overlay_exit,0.6,1.0,-0.03512806950233982,-0.08980395747166059
2009-02-18,2009-02-17,overlay_enter,1.0,0.6,-0.09047038578142841,0.0927464895874952
2009-02-19,2009-02-18,overlay_exit,0.6,1.0,-0.049091223940273876,0.17478785659327656
2009-02-20,2009-02-19,overlay_enter,1.0,0.6,-0.0648322361725735,0.09666903089629297
2009-02-25,2009-02-24,overlay_exit,0.6,1.0,-0.021964121874320508,-0.03377230439143908
2009-03-04,2009-03-03,overlay_enter,1.0,0.6,-0.0956376539288395,0.14039409939959935
2009-03-10,2009-03-09,overlay_exit,0.6,1.0,-0.03526913547043797,0.044575249593565625
2010-01-25,2010-01-22,overlay_enter,1.0,0.6,-0.049769317619853926,0.5534698284677317
2010-01-26,2010-01-25,overlay_exit,0.6,1.0,-0.034054887503014886,0.3602783421995772
2010-05-07,2010-05-06,overlay_enter,1.0,0.6,-0.06553051184269709,0.6245665363768407
2010-05-11,2010-05-10,overlay_exit,0.6,1.0,-0.03481526132814605,0.157767977890376
2010-05-21,2010-05-20,overlay_enter,1.0,0.6,-0.07285112784877579,0.48476007422084755
2011-03-17,2011-03-16,overlay_enter,1.0,0.6,-0.046907093766750285,0.4641434128603361
2011-03-18,2011-03-17,overlay_exit,0.6,1.0,-0.01608419863378474,0.2479887310263711
2011-08-05,2011-08-04,overlay_enter,1.0,0.6,-0.07648593171434814,0.33812341722711503
2011-08-12,2011-08-11,overlay_exit,0.6,1.0,-0.024364307809526586,-0.1875
2011-08-23,2011-08-22,overlay_enter,1.0,0.6,-0.06541203026602904,0.3438884968093585
2011-08-24,2011-08-23,overlay_exit,0.6,1.0,-0.026339988048141194,-0.14998823496176006
2011-09-23,2011-09-22,overlay_enter,1.0,0.6,-0.0657670814880501,0.263366912693082
2011-09-27,2011-09-26,overlay_exit,0.6,1.0,-0.03382919388850114,0.04555200366668877
2011-11-25,2011-11-23,overlay_enter,1.0,0.6,-0.06060620022859775,0.061874985694885254
2011-11-28,2011-11-25,overlay_exit,0.6,1.0,-0.047252500385245866,0.04740204741792753
2014-01-27,2014-01-24,rebalance_scaled,,0.6,-0.029985730151449452,0.40947937458823236
2014-01-28,2014-01-27,overlay_exit,0.6,1.0,-0.030657496703043963,0.3566978091338231
2014-10-14,2014-10-13,overlay_enter,1.0,0.6,-0.045239525411749804,0.6307081369627827
2014-10-15,2014-10-14,overlay_exit,0.6,1.0,-0.02876964915758784,0.2148187973068969
2014-12-11,2014-12-10,overlay_enter,1.0,0.6,-0.0227524651779083,0.5584524938261821
2014-12-15,2014-12-12,overlay_exit,0.6,1.0,-0.034182311480622785,0.37328986318159907
2015-06-30,2015-06-29,overlay_enter,1.0,0.6,-0.030534731264556414,0.4215686316816356
2015-07-01,2015-06-30,overlay_exit,0.6,1.0,-0.029192073833472776,0.30121336505440577
2015-08-21,2015-08-20,overlay_enter,1.0,0.6,-0.02247697737700971,0.47004598438669665
2015-08-28,2015-08-27,overlay_exit,0.6,1.0,-0.02304249500137512,-0.3593520052488135
2016-06-14,2016-06-13,overlay_enter,1.0,0.6,-0.013721297260329335,0.4893465502118335
2016-06-16,2016-06-15,overlay_exit,0.6,1.0,-0.021754353086358758,0.18261882428705434
2016-09-12,2016-09-09,overlay_enter,1.0,0.6,-0.018905993991091385,0.45590676651736883
2016-09-13,2016-09-12,overlay_exit,0.6,1.0,-0.009296186334795897,0.26968177388540915
2016-09-14,2016-09-13,overlay_enter,1.0,0.6,-0.026480243783937096,0.4268585175769568
2016-09-15,2016-09-14,overlay_exit,0.6,1.0,-0.026756856110402016,0.036571393694196486
2017-05-18,2017-05-17,overlay_enter,1.0,0.6,-0.01688406274469989,0.4990385311947798
2017-05-22,2017-05-19,overlay_exit,0.6,1.0,-0.002803566209851671,0.1305164688366982
2017-08-11,2017-08-10,overlay_enter,1.0,0.6,-0.012957595515459053,0.615307192605711
2017-08-15,2017-08-14,overlay_exit,0.6,1.0,-0.0053656649440021464,0.10981100852650094
2018-02-06,2018-02-05,overlay_enter,1.0,0.6,-0.07288868178366958,1.7562776809429739
2018-02-12,2018-02-09,overlay_exit,0.6,1.0,-0.050644428245607664,-0.030687127763222022
2018-03-02,2018-03-01,overlay_enter,1.0,0.6,-0.009985214166344236,0.42215183810763013
2018-03-05,2018-03-02,overlay_exit,0.6,1.0,-0.020494169810999274,0.053792361043138115
2018-10-11,2018-10-10,overlay_enter,1.0,0.6,-0.04600330423144361,0.5492577299101615
2018-10-15,2018-10-12,overlay_exit,0.6,1.0,-0.041240767764324504,0.3360501392334623
2018-12-10,2018-12-07,overlay_enter,1.0,0.6,-0.037995485479583424,0.4130169578834464
2018-12-11,2018-12-10,overlay_exit,0.6,1.0,-0.04200967113041176,0.0916103972757103
2018-12-21,2018-12-20,overlay_enter,1.0,0.6,-0.06858357759820055,0.15742245640051578
2018-12-24,2018-12-21,rebalance_scaled,,0.6,-0.07050486637706388,0.17709150508821403
2018-12-27,2018-12-26,overlay_exit,0.6,1.0,-0.029255202282609027,0.07152927225776118
2019-05-09,2019-05-08,overlay_enter,1.0,0.6,-0.014667027172989955,0.507381491145019
2019-05-10,2019-05-09,overlay_exit,0.6,1.0,-0.015523171904367694,0.23704669045046467
2019-08-06,2019-08-05,overlay_enter,1.0,0.6,-0.058515450663647495,0.5254341732253465
2019-08-07,2019-08-06,overlay_exit,0.6,1.0,-0.042963915795039,0.12870728198349735
2020-01-28,2020-01-27,overlay_enter,1.0,0.6,-0.02545559826993682,0.4120836373124084
2020-01-29,2020-01-28,overlay_exit,0.6,1.0,-0.013311183642020885,0.2542373852688613
2020-02-25,2020-02-24,overlay_enter,1.0,0.6,-0.04496441465417311,0.7406119949546783
2020-03-03,2020-03-02,overlay_exit,0.6,1.0,-0.04134358494738255,0.21262695270529663
2020-03-10,2020-03-09,overlay_enter,1.0,0.6,-0.1127828334174239,0.7024069857493809
2020-03-11,2020-03-10,overlay_exit,0.6,1.0,-0.039368372722912715,0.1938415071231916
2020-03-12,2020-03-11,overlay_enter,1.0,0.6,-0.12305833926793486,0.2851693679253804
2020-03-16,2020-03-13,rebalance_scaled,,0.6,-0.09460094961371279,0.2226216229141853
2020-03-20,2020-03-19,overlay_exit,0.6,1.0,-0.030631683972410007,-0.1292780520714235
2020-03-23,2020-03-20,overlay_enter,1.0,0.6,-0.14545733530358673,-0.13002242485081927
2020-03-25,2020-03-24,overlay_exit,0.6,1.0,-0.032516748945956575,-0.14347224765353728
2020-06-12,2020-06-11,overlay_enter,1.0,0.6,-0.03452591954977091,0.5803952638337648
2020-06-15,2020-06-12,overlay_exit,0.6,1.0,-0.04737883020634859,0.30903157606357
2020-09-11,2020-09-10,overlay_enter,1.0,0.6,-0.06656380778800708,-0.033821167984629086
2020-09-14,2020-09-11,overlay_exit,0.6,1.0,-0.03280362144968041,-0.14589950345881253
2020-10-29,2020-10-28,overlay_enter,1.0,0.6,-0.04688802615270837,0.46206896169753064
2020-10-30,2020-10-29,overlay_exit,0.6,1.0,-0.042453734141384536,0.15804070279746818
2021-01-28,2021-01-27,overlay_enter,1.0,0.6,-0.02469441110305759,0.6983112434328793
2021-01-29,2021-01-28,overlay_exit,0.6,1.0,-0.017202787227431515,0.30271661874717215
2021-02-01,2021-01-29,overlay_enter,1.0,0.6,-0.03345678692068366,0.4374456774360329
2021-02-02,2021-02-01,overlay_exit,0.6,1.0,-0.021228648928282468,-0.18731522399480516
2021-05-13,2021-05-12,overlay_enter,1.0,0.6,-0.024870782807130398,0.6530856362938835
2021-05-14,2021-05-13,overlay_exit,0.6,1.0,-0.02097511105580474,0.17650047509086098
2021-09-21,2021-09-20,overlay_enter,1.0,0.6,-0.024966403973341378,0.4141913450437682
2021-09-22,2021-09-21,overlay_exit,0.6,1.0,-0.020601933424283847,0.30337078193025513
2021-11-29,2021-11-26,overlay_enter,1.0,0.6,-0.02290677770888816,0.4929577843155848
2021-11-30,2021-11-29,overlay_exit,0.6,1.0,-0.009149409803940078,0.1847265262505018
2021-12-01,2021-11-30,overlay_enter,1.0,0.6,-0.02568612765529632,0.4634015417495314
2021-12-02,2021-12-01,overlay_exit,0.6,1.0,-0.037783842527544964,0.08735149988440605
2022-02-15,2022-02-14,overlay_enter,1.0,0.6,-0.018423254137908684,0.4193387386347436
2022-02-16,2022-02-15,overlay_exit,0.6,1.0,-0.010733313733955474,0.07486411237769564
2022-04-27,2022-04-26,overlay_enter,1.0,0.6,-0.0650277950568916,0.47795414491745425
2022-04-29,2022-04-28,overlay_exit,0.6,1.0,-0.02339863117120522,0.1099185515558021
2022-05-12,2022-05-11,overlay_enter,1.0,0.6,-0.08462698429759652,0.0785028419115057
2022-05-13,2022-05-12,overlay_exit,0.6,1.0,-0.051883793059939065,-0.08575538251039794
2022-06-14,2022-06-13,overlay_enter,1.0,0.6,-0.08934152093389269,0.4198665174328169
2022-06-21,2022-06-17,overlay_exit,0.6,1.0,-0.057361871978192314,-0.047721001268804075
2022-09-27,2022-09-26,overlay_enter,1.0,0.6,-0.06238584091540611,0.15255443320228568
