universe,regime,configured_tickers,dates,active_zero_days,active_mean,active_p10,active_min,active_min_nonzero,active_median,active_max,price_non_null_mean,vol_score_active_non_null_mean,vol_score_active_coverage_mean
sp100_sample,2008_crisis,44,314,0,39.0,39.0,39,39,39.0,39,41.0,36.0,0.9230769230769248
sp100_sample,2010_2019,44,2516,0,42.27623211446741,41.0,40,40,42.0,44,43.4137519872814,41.61486486486486,0.9837992942727537
sp100_sample,2020,44,253,0,43.0,43.0,43,43,43.0,43,44.0,43.0,1.0
sp100_sample,2022,44,251,0,41.0796812749004,41.0,40,40,41.0,42,44.0,41.0796812749004,1.0
sp100_sample,2023_2026,44,833,0,39.06602641056423,39.0,39,39,39.0,40,44.0,38.97238895558223,0.9975990396158463
sp500_dynamic,2008_crisis,503,314,0,160.2420382165605,131.0,127,127,164.0,182,417.78025477707007,159.96815286624204,0.9982845060884417
sp500_dynamic,2010_2019,503,2516,0,232.1168521462639,160.0,132,132,230.0,354,459.1879968203498,231.8143879173291,0.9986545446214327
sp500_dynamic,2020,503,253,0,353.5810276679842,324.0,319,319,348.0,399,487.9604743083004,353.0711462450593,0.998617544673472
sp500_dynamic,2022,503,251,0,408.9641434262948,388.0,385,385,408.0,432,496.0,408.79282868525894,0.9995954125899755
sp500_dynamic,2023_2026,503,833,3,448.05762304921967,406.0,0,399,451.0,496,500.44777911164465,447.6206482593037,0.9990183816799463
