variant,selection,top_n,sector_balanced,construction,vol_method,target_beta,use_exposure_scaling,universe,cagr,sharpe,max_dd,volatility,avg_realized_beta,avg_abs_beta_error,avg_exposure_multiplier,turnover_sum,n_rebalances,solver_statuses
top_10_equal_weight_exposure_scaled,top_10,10,False,vol_scaling,equal_weight,,True,sp100_sample,0.20534785545877954,0.8986088866967854,-0.37520857814334674,0.2285174991019974,1.2102432862412047,,0.8627615062761507,83.7,239,not_applicable=239
top_10_inverse_vol_exposure_scaled,top_10,10,False,vol_scaling,inverse_vol,,True,sp100_sample,0.17450017105378057,0.8052739957065067,-0.3751821024162131,0.2166966423654137,1.1689382709041025,,0.8627615062761507,104.05518343330195,239,not_applicable=239
top_10_alpha_over_vol_exposure_scaled,top_10,10,False,vol_scaling,alpha_over_vol,,True,sp100_sample,0.17863730672686384,0.8126603593376183,-0.374019816339766,0.2198179161494566,1.1867794742478242,,0.8627615062761507,98.10123521955916,239,not_applicable=239
top_20_equal_weight_exposure_scaled,top_20,20,False,vol_scaling,equal_weight,,True,sp100_sample,0.17199002551598452,0.9279124154987057,-0.3597430899072698,0.18535157267353583,1.0161990593716757,,0.8627615062761507,64.92,239,not_applicable=239
top_20_inverse_vol_exposure_scaled,top_20,20,False,vol_scaling,inverse_vol,,True,sp100_sample,0.14742941729682446,0.8388862469469001,-0.3552647787516733,0.1757442297252925,0.9691388955422946,,0.8627615062761507,84.07729767317747,239,not_applicable=239
top_20_alpha_over_vol_exposure_scaled,top_20,20,False,vol_scaling,alpha_over_vol,,True,sp100_sample,0.15518696087896555,0.8545864659505338,-0.35717172302643785,0.18159304770448853,1.0043655151057103,,0.8627615062761507,75.00962250310954,239,not_applicable=239
top_30_equal_weight_exposure_scaled,top_30,30,False,vol_scaling,equal_weight,,True,sp100_sample,0.15273467476062552,0.9371979896470389,-0.32461287380847903,0.16296948611482553,0.890804266897023,,0.8627615062761507,43.51999999999997,239,not_applicable=239
top_30_inverse_vol_exposure_scaled,top_30,30,False,vol_scaling,inverse_vol,,True,sp100_sample,0.13074940883877062,0.8529359593420622,-0.3134986637554379,0.15329334800191577,0.8316971661346594,,0.8627615062761507,61.22386348058993,239,not_applicable=239
top_30_alpha_over_vol_exposure_scaled,top_30,30,False,vol_scaling,alpha_over_vol,,True,sp100_sample,0.14332821410251562,0.8749152738735354,-0.33013524488026413,0.16381953588254877,0.8970555561530189,,0.8627615062761507,53.065398920914994,239,not_applicable=239
sector_balanced_top_20_equal_weight_exposure_scaled,sector_balanced_top_20,20,True,vol_scaling,equal_weight,,True,sp100_sample,0.1658697831853282,0.9791817520442946,-0.3413591091804743,0.16939631773062785,0.926209529304817,,0.8627615062761507,70.78999999999999,239,not_applicable=239
sector_balanced_top_20_inverse_vol_exposure_scaled,sector_balanced_top_20,20,True,vol_scaling,inverse_vol,,True,sp100_sample,0.13667686527354062,0.8762145259706099,-0.327136377027371,0.15598561907215522,0.8470877930203187,,0.8627615062761507,91.14926770862775,239,not_applicable=239
sector_balanced_top_20_alpha_over_vol_exposure_scaled,sector_balanced_top_20,20,True,vol_scaling,alpha_over_vol,,True,sp100_sample,0.15323200931504677,0.9069491503514838,-0.34214601641241527,0.1689532530634848,0.930789108932663,,0.8627615062761507,80.3808589101817,239,not_applicable=239
sector_balanced_top_30_equal_weight_exposure_scaled,sector_balanced_top_30,30,True,vol_scaling,equal_weight,,True,sp100_sample,0.15377568481069992,0.9883385320954011,-0.30289069593284446,0.15559009369459295,0.8472494490690398,,0.8627615062761507,50.146666666666626,239,not_applicable=239
sector_balanced_top_30_inverse_vol_exposure_scaled,sector_balanced_top_30,30,True,vol_scaling,inverse_vol,,True,sp100_sample,0.129954883221868,0.905818124518008,-0.28278220958248446,0.14346686128743324,0.769118367248696,,0.8627615062761507,67.8784922907437,239,not_applicable=239
sector_balanced_top_30_alpha_over_vol_exposure_scaled,sector_balanced_top_30,30,True,vol_scaling,alpha_over_vol,,True,sp100_sample,0.14701655502593303,0.922821152710248,-0.317573247830482,0.15931207752895324,0.8696463984774404,,0.8627615062761507,60.64387041785377,239,not_applicable=239
top_10_equal_weight_exposure_scaled,top_10,10,False,vol_scaling,equal_weight,,True,sp500_dynamic,0.21346031817799704,0.5829844113495444,-0.630727649604,0.3661509879549953,1.8457987942122902,,0.8627615062761507,138.42000000000002,239,not_applicable=239
top_10_inverse_vol_exposure_scaled,top_10,10,False,vol_scaling,inverse_vol,,True,sp500_dynamic,0.19605590078977175,0.5508448786277337,-0.635683894603507,0.35591853241549015,1.8096515373124658,,0.8627615062761507,154.29904432580747,239,not_applicable=239
top_10_alpha_over_vol_exposure_scaled,top_10,10,False,vol_scaling,alpha_over_vol,,True,sp500_dynamic,0.19606565775163398,0.5497581504488473,-0.6350878189358904,0.3566398380661699,1.8131253504129603,,0.8627615062761507,152.5186818166786,239,not_applicable=239
top_20_equal_weight_exposure_scaled,top_20,20,False,vol_scaling,equal_weight,,True,sp500_dynamic,0.22082908120389177,0.7000011091584224,-0.5272873059078116,0.31546961614015717,1.6884848684166651,,0.8627615062761507,122.96999999999998,239,not_applicable=239
top_20_inverse_vol_exposure_scaled,top_20,20,False,vol_scaling,inverse_vol,,True,sp500_dynamic,0.2002775613523422,0.65574679097343,-0.5189989747151293,0.30541904910436257,1.653123603810866,,0.8627615062761507,139.4317759778923,239,not_applicable=239
top_20_alpha_over_vol_exposure_scaled,top_20,20,False,vol_scaling,alpha_over_vol,,True,sp500_dynamic,0.20056881014008643,0.6536452194244519,-0.5199372913270766,0.30684659533912206,1.6589004305392823,,0.8627615062761507,136.45619451286913,239,not_applicable=239
top_30_equal_weight_exposure_scaled,top_30,30,False,vol_scaling,equal_weight,,True,sp500_dynamic,0.20643599993525785,0.7071691618134528,-0.5140232500600358,0.2919188379282219,1.5842337433390474,,0.8627615062761507,113.26666666666668,239,not_applicable=239
top_30_inverse_vol_exposure_scaled,top_30,30,False,vol_scaling,inverse_vol,,True,sp500_dynamic,0.18503411719624485,0.6561855098075704,-0.5081285892360246,0.28198446084325607,1.5484560572595096,,0.8627615062761507,130.3992437334079,239,not_applicable=239
top_30_alpha_over_vol_exposure_scaled,top_30,30,False,vol_scaling,alpha_over_vol,,True,sp500_dynamic,0.1862580358811028,0.6563743579413127,-0.5088623164016883,0.28376799554646276,1.5570860460394267,,0.8627615062761507,126.30587446841379,239,not_applicable=239
sector_balanced_top_20_equal_weight_exposure_scaled,sector_balanced_top_20,20,True,vol_scaling,equal_weight,,True,sp500_dynamic,0.19420874957246403,0.7502951984763268,-0.4501239417765708,0.2588431193040504,1.4174740831166726,,0.8627615062761507,144.51000000000008,239,not_applicable=239
